Department_ID,Hospital_ID,Department_Name
DPT00101,H001,General Medicine
DPT00102,H001,Cardiology
DPT00103,H001,Dermatology
DPT00104,H001,Pediatrics
DPT00105,H001,Orthopedics
DPT00106,H001,ENT
DPT00107,H001,Gynecology
DPT00108,H001,Neurology
DPT00109,H001,Diabetology
DPT00110,H001,Pulmonology
DPT00201,H002,General Medicine
DPT00202,H002,Cardiology
DPT00203,H002,Dermatology
DPT00204,H002,Pediatrics
DPT00205,H002,Orthopedics
DPT00206,H002,ENT
DPT00207,H002,Gynecology
DPT00208,H002,Neurology
DPT00209,H002,Diabetology
DPT00210,H002,Pulmonology
DPT00301,H003,General Medicine
DPT00302,H003,Cardiology
DPT00303,H003,Dermatology
DPT00304,H003,Pediatrics
DPT00305,H003,Orthopedics
DPT00306,H003,ENT
DPT00307,H003,Gynecology
DPT00308,H003,Neurology
DPT00309,H003,Diabetology
DPT00310,H003,Pulmonology
DPT00401,H004,General Medicine
DPT00402,H004,Cardiology
DPT00403,H004,Dermatology
DPT00404,H004,Pediatrics
DPT00405,H004,Orthopedics
DPT00406,H004,ENT
DPT00407,H004,Gynecology
DPT00408,H004,Neurology
DPT00409,H004,Diabetology
DPT00410,H004,Pulmonology
DPT00501,H005,General Medicine
DPT00502,H005,Cardiology
DPT00503,H005,Dermatology
DPT00504,H005,Pediatrics
DPT00505,H005,Orthopedics
DPT00506,H005,ENT
DPT00507,H005,Gynecology
DPT00508,H005,Neurology
DPT00509,H005,Diabetology
DPT00510,H005,Pulmonology
DPT00601,H006,General Medicine
DPT00602,H006,Cardiology
DPT00603,H006,Dermatology
DPT00604,H006,Pediatrics
DPT00605,H006,Orthopedics
DPT00606,H006,ENT
DPT00607,H006,Gynecology
DPT00608,H006,Neurology
DPT00609,H006,Diabetology
DPT00610,H006,Pulmonology
DPT00701,H007,General Medicine
DPT00702,H007,Cardiology
DPT00703,H007,Dermatology
DPT00704,H007,Pediatrics
DPT00705,H007,Orthopedics
DPT00706,H007,ENT
DPT00707,H007,Gynecology
DPT00708,H007,Neurology
DPT00709,H007,Diabetology
DPT00710,H007,Pulmonology
DPT00801,H008,General Medicine
DPT00802,H008,Cardiology
DPT00803,H008,Dermatology
DPT00804,H008,Pediatrics
DPT00805,H008,Orthopedics
DPT00806,H008,ENT
DPT00807,H008,Gynecology
DPT00808,H008,Neurology
DPT00809,H008,Diabetology
DPT00810,H008,Pulmonology
DPT00901,H009,General Medicine
DPT00902,H009,Cardiology
DPT00903,H009,Dermatology
DPT00904,H009,Pediatrics
DPT00905,H009,Orthopedics
DPT00906,H009,ENT
DPT00907,H009,Gynecology
DPT00908,H009,Neurology
DPT00909,H009,Diabetology
DPT00910,H009,Pulmonology
DPT01001,H010,General Medicine
DPT01002,H010,Cardiology
DPT01003,H010,Dermatology
DPT01004,H010,Pediatrics
DPT01005,H010,Orthopedics
DPT01006,H010,ENT
DPT01007,H010,Gynecology
DPT01008,H010,Neurology
DPT01009,H010,Diabetology
DPT01010,H010,Pulmonology
