Hospital_ID,Hospital_Name,City,Contact_Number
H001,HealthSync Care Hospital 1,Kochi,+91-484-100001
H002,HealthSync Care Hospital 2,Malappuram,+91-484-100002
H003,HealthSync Care Hospital 3,Kozhikode,+91-484-100003
H004,HealthSync Care Hospital 4,Thrissur,+91-484-100004
H005,HealthSync Care Hospital 5,Kannur,+91-484-100005
H006,HealthSync Care Hospital 6,Thiruvananthapuram,+91-484-100006
H007,HealthSync Care Hospital 7,Kottayam,+91-484-100007
H008,HealthSync Care Hospital 8,Palakkad,+91-484-100008
H009,HealthSync Care Hospital 9,Kochi,+91-484-100009
H010,HealthSync Care Hospital 10,Malappuram,+91-484-100010
