Stock_ID,Pharmacy_ID,Medicine_ID,Current_Quantity,Reorder_Level,Expiry_Date
ST00001,PH006,M004,217,31,2026-12-17
ST00002,PH014,M018,478,53,2027-05-03
ST00003,PH018,M018,131,36,2026-12-02
ST00004,PH015,M011,286,55,2026-02-07
ST00005,PH018,M002,260,93,2027-04-15
ST00006,PH003,M002,160,95,2027-05-23
ST00007,PH005,M014,334,99,2026-12-31
ST00008,PH005,M017,462,97,2026-10-20
ST00009,PH013,M003,166,84,2027-03-12
ST00010,PH011,M010,116,83,2026-06-02
ST00011,PH001,M012,42,10,2027-04-15
ST00012,PH012,M014,443,92,2027-07-13
ST00013,PH018,M013,472,90,2027-04-25
ST00014,PH008,M017,448,91,2026-06-21
ST00015,PH006,M013,170,55,2027-12-17
ST00016,PH019,M020,409,94,2027-10-16
ST00017,PH007,M007,421,23,2026-06-16
ST00018,PH020,M020,435,41,2026-06-03
ST00019,PH012,M006,125,11,2027-12-06
ST00020,PH001,M011,465,20,2027-04-10
ST00021,PH014,M012,73,36,2026-11-30
ST00022,PH008,M003,291,45,2027-02-21
ST00023,PH011,M015,149,89,2027-10-22
ST00024,PH017,M003,214,47,2027-07-05
ST00025,PH010,M013,475,33,2026-11-02
ST00026,PH008,M004,150,35,2027-01-05
ST00027,PH014,M001,122,42,2026-04-17
ST00028,PH003,M009,219,33,2027-01-26
ST00029,PH019,M011,384,45,2026-05-15
ST00030,PH005,M017,13,96,2027-10-10
ST00031,PH009,M020,100,11,2027-01-13
ST00032,PH011,M007,141,17,2027-11-27
ST00033,PH001,M019,156,62,2027-05-10
ST00034,PH010,M017,8,45,2026-05-19
ST00035,PH003,M010,163,68,2027-02-12
ST00036,PH007,M008,303,52,2027-12-21
ST00037,PH003,M012,328,68,2026-11-03
ST00038,PH014,M001,212,69,2027-06-29
ST00039,PH001,M018,97,21,2026-08-08
ST00040,PH009,M014,475,93,2027-02-01
ST00041,PH007,M001,249,29,2026-07-28
ST00042,PH019,M019,451,56,2027-01-09
ST00043,PH005,M003,160,67,2026-07-25
ST00044,PH008,M004,132,81,2027-08-17
ST00045,PH019,M015,322,53,2027-02-08
ST00046,PH012,M019,212,74,2026-10-24
ST00047,PH004,M007,283,82,2026-06-12
ST00048,PH017,M018,284,69,2027-01-09
ST00049,PH013,M019,361,88,2027-10-17
ST00050,PH001,M018,377,50,2027-03-08
ST00051,PH020,M005,25,29,2027-07-30
ST00052,PH007,M011,68,74,2027-05-07
ST00053,PH013,M016,397,52,2027-02-25
ST00054,PH014,M016,110,92,2026-05-14
